Leممَإض سِنغُلَرًْرم سِنغُلَرپَتتeر برْكeنپلُرَلًْرم برْكeنپلُرَلپَتتeرن
ن@شَبَه_1@1 شَبَه فَعَل أَشْباه أَفْعال
ن@شَبَح_1@1 شَبَح فَعَل أَشْباح أَفْعال
ن@ذَبِيحَة_1@0 ذَبِيحَة فَعِيلَة ذَبائِح فَعائِل
ن@أَبْتَر_1@3 أَبْتَر أَفْعَل بُتْر فُعْل
ن@شادِر_1@1 شادِر فاعِل شَوادِر فَواعِل
ن@أَدْعَى_1@0 أَدْعَى أَفْعَل أَدْعَى فَعْلَى
ن@شادُوف_1@1 شادُوف فاعُول شَوادِيف فَواعِيل
ن@شَعِيرَة_1@0 شَعِيرَة فَعِيلَة شَعائِر فَعائِل
ن@شَعْب_1@0 شَعْب فَعْل شُعُوب فُعُول
ن@شَعْفَة_1@0 شَعْفَة فَعْلَة شِعاف فِعال
ن@أَعْتَى_1@1 أَعْتَى أَفْعَل أَعْتَى فَعْلَى
ن@شافِع_1@1 شافِع فاعِل شَوافِع فَواعِل
ن@شَفِيع_1@1 شَفِيع فَعِيل شُفَعاء فُعَلاء
ن@شَفْع_1@1 شَفْع فَعْل أَشْفاع أَفْعال
ن@شَفْع_1@1 شَفْع فَعْل شِفاع فِعال
ن@أَفْعَى_1@1 أَفْعَى أَفْعَل أَفاعِي أَفاعِل
ن@أَفْعَى_1@1 أَفْعَى فَعْلَل أَفاعِي فَعالِل
ن@شَفْر_1@1 شَفْر فَعْل أَشْفار أَفْعال
ن@أَغْلَى_2@0 أَغْلَى أَفْعَل أَغْلَى فَعْلَى
ن@شَهِيد_1@1 شَهِيد فَعِيل شُهَداء فُعَلاء
ن@شاهِين_2@0 شاهِين فاعِيل شَواهِين فَواعِيل
ن@أَهْدَى_2@0 أَهْدَى أَفْعَل أَهْدَى فَعْلَى
ن@شَهْر_1@0 شَهْر فَعْل أَشْهُر أَفْعُل
ن@شَهْر_1@0 شَهْر فَعْل شُهُور فُعُول
ن@أَهْوَى_2@1 أَهْوَى أَفْعَل أَهْوَى فَعْلَى
ن@أَجَل_1@1 أَجَل فَعَل آجال آعال
ن@شَجَن_1@0 شَجَن فَعَل أَشْجان أَفْعال
ن@شَجَن_1@0 شَجَن فَعَل شُجُون فُعُول
ن@أَجْر_2@0 أَجْر فَعْل أُجُور فُعُول
ن@شَكّ_1@0 شَكّ فَعّ شُكُوك فُعُول
ن@شَكّ_1@0 شَكّ فَلّ شُكُوك فُعُول
ن@ذَكَر_1@0 ذَكَر فَعَل ذُكْران فُعْلان
ن@ذَكَر_1@0 ذَكَر فَعَل ذُكُور فُعُول
ن@شاكِلَة_1@1 شاكِلَة فاعِلَة شَواكِل فَواعِل
ن@شَكِيم_1@1 شَكِيم فَعِيل شَكائِم فَعائِل
ن@شَكِيم_1@1 شَكِيم فَعِيل شُكُم فُعُل
ن@شَكْل_1@0 شَكْل فَعْل أَشْكال أَفْعال
ن@شَكْوَى_1@1 شَكْوَى فَعْلَى شَكاوَى فَعالَى
ن@شاكُوش_1@1 شاكُوش فاعُول شَواكِيش فَواعِيل
ن@شَلْتَة_1@0 شَلْتَة فَعْلَة شِلَت فِعَل
ن@أَلْثَغ_1@1 أَلْثَغ أَفْعَل لُثْغ فُعْل
ن@أَمَل_1@1 أَمَل فَعَل آمال آعال
ن@أَمْر_1@1 أَمْر فَعْل أُمُور فُعُول
ن@شَمْس_1@1 شَمْس فَعْل شُمُوس فُعُول
ن@أَنْبار_1@1 أَنْبار فَعْلال أَنابِير فَعالِيل
ن@أَنْف_1@1 أَنْف فَعْل أُنُوف فُعُول
ن@شَنْف_1@1 شَنْف فَعْل شُنُوف فُعُول
ن@شَنْكَل_2@1 شَنْكَل فَعْلَل شَناكِل فَعالِل
ن@أَنْكَى_1@1 أَنْكَى أَفْعَل أَنْكَى فَعْلَى
ن@شَنْطَة_1@1 شَنْطَة فَعْلَة شُنَط فُعَل
ن@أَذْكَى_2@0 أَذْكَى أَفْعَل أَذْكَى فَعْلَى
ن@شَقّ_2@0 شَقّ فَعّ شُقُوق فُعُول
ن@شَقّ_2@0 شَقّ فَلّ شُقُوق فُعُول
ن@شَقَّة_1@0 شَقَّة فَعَّة شُقَق فُعَع
ن@شَقِيق_1@0 شَقِيق فَعِيل أَشِقّاء أَفِلّاء
ن@شَقِيق_1@0 شَقِيق فَعِيل أَشِقَّة أَفِلَّة
ن@ذَقْن_1@1 ذَقْن فَعْل أَذْقان أَفْعال
ن@ذَقْن_1@1 ذَقْن فَعْل ذُقُون فُعُول
ن@أَقْوَى_2@3 أَقْوَى أَفْعَل أَقْوَى فَعْلَى
ن@شَرَج_1@1 شَرَج فَعَل أَشْراج أَفْعال
ن@شَرَك_1@1 شَرَك فَعَل أَشْراك أَفْعال
ن@شَرَط_1@1 شَرَط فَعَل أَشْراط أَفْعال
ن@شارِدَة_1@0 شارِدَة فاعِلَة شَوارِد فَواعِل
ن@شارِع_1@1 شارِع فاعِل شَوارِع فَواعِل
ن@شارِي_1@2 شارِي فاعِي شُراَة فُعاَة
ن@شَرِيحَة_1@0 شَرِيحَة فَعِيلَة شَرائِح فَعائِل
ن@شَرِيك_1@0 شَرِيك فَعِيل شُرَكاء فُعَلاء
ن@شَرِيك_1@2 شَرِيك فَعِيل شَرائِك فَعائِل
ن@أَرِيكَة_1@0 أَرِيكَة فَعِيلَة أَرائِك فَعائِل
ن@شَرِيط_1@1 شَرِيط فَعِيل أَشْرِطَة أَفْعِلَة
ن@شَرِيط_1@1 شَرِيط فَعِيل شَرائِط فَعائِل
ن@أَرْش_1@1 أَرْش فَعْل أُرُوش فُعُول
ن@شَرْشَف_1@0 شَرْشَف فَعْلَل شَراشِف فَعالِل
ن@أَرْدَبّ_1@1 أَرْدَبّ أَفْعَلّ أَرادِب أَفاعِل
ن@شَرْح_1@1 شَرْح فَعْل شُرُوح فُعُول
ن@أَرْجُوحَة_1@1 أَرْجُوحَة فَعْلُولَة أَراجِيح فَعالِيل
ن@شَرْم_2@1 شَرْم فَعْل شُرُوم فُعُول
ن@أَرْمَل_2@1 أَرْمَل أَفْعَل أَرامِل أَفاعِل
ن@أَرْمَل_2@1 أَرْمَل فَعْلَل أَرامِل فَعالِل
ن@أَرْمَلَة_1@1 أَرْمَلَة فَعْلَلَة أَرامِل فَعالِل
ن@أَرْنَب_1@1 أَرْنَب أَفْعَل أَرانِب أَفاعِل
ن@أَرْنَب_1@1 أَرْنَب فَعْلَل أَرانِب فَعالِل
ن@شَرْط_1@1 شَرْط فَعْل شُرُوط فُعُول
ن@شَرْخ_2@0 شَرْخ فَعْل شُرُوخ فُعُول
ن@أَسَد_1@0 أَسَد فَعَل آساد آعال
ن@أَسَد_1@0 أَسَد فَعَل أُسُود فُعُول
ن@أَصِيص_1@0 أَصِيص فَعِيل أَصائِص فَعائِل
ن@أَصِيص_1@0 أَصِيص فَعِيل أُصُص فُعُل
ن@أَسْنَى_1@0 أَسْنَى أَفْعَل أَسْنَى فَعْلَى
ن@أَسْتِك_1@1 أَسْتِك أَفْعِل أَساتِك أَفاعِل
ن@شَطّ_1@1 شَطّ فَعّ شُطُوط فُعُول
ن@شَطّ_1@1 شَطّ فَلّ شُطُوط فُعُول
ن@شاطِئ_1@0 شاطِئ فاعِل شَواطِئ فَواعِل
ن@شَتِيل_1@1 شَتِيل فَعِيل شَتائِل فَعائِل
