LemmaID	singularForm	singularPatter	brokenPluralForm	brokenPluralPattern
n@$abah_1@1	$abah	faEal	>a$obAh	>afoEAl
n@$abaH_1@1	$abaH	faEal	>a$obAH	>afoEAl
n@*abiyHap_1@0	*abiyHap	faEiylap	*abA}iH	faEA}il
n@>abotar_1@3	>abotar	>afoEal	butor	fuEol
n@$Adir_1@1	$Adir	fAEil	$awAdir	fawAEil
n@>adoEaY_1@0	>adoEaY	>afoEal	>adoEaY	faEolaY
n@$Aduwf_1@1	$Aduwf	fAEuwl	$awAdiyf	fawAEiyl
n@$aEiyrap_1@0	$aEiyrap	faEiylap	$aEA}ir	faEA}il
n@$aEob_1@0	$aEob	faEol	$uEuwb	fuEuwl
n@$aEofap_1@0	$aEofap	faEolap	$iEAf	fiEAl
n@>aEotaY_1@1	>aEotaY	>afoEal	>aEotaY	faEolaY
n@$AfiE_1@1	$AfiE	fAEil	$awAfiE	fawAEil
n@$afiyE_1@1	$afiyE	faEiyl	$ufaEA'	fuEalA'
n@$afoE_1@1	$afoE	faEol	>a$ofAE	>afoEAl
n@$afoE_1@1	$afoE	faEol	$ifAE	fiEAl
n@>afoEaY_1@1	>afoEaY	>afoEal	>afAEiy	>afAEil
n@>afoEaY_1@1	>afoEaY	faEolal	>afAEiy	faEAlil
n@$afor_1@1	$afor	faEol	>a$ofAr	>afoEAl
n@>agolaY_2@0	>agolaY	>afoEal	>agolaY	faEolaY
n@$ahiyd_1@1	$ahiyd	faEiyl	$uhadA'	fuEalA'
n@$Ahiyn_2@0	$Ahiyn	fAEiyl	$awAhiyn	fawAEiyl
n@>ahodaY_2@0	>ahodaY	>afoEal	>ahodaY	faEolaY
n@$ahor_1@0	$ahor	faEol	>a$ohur	>afoEul
n@$ahor_1@0	$ahor	faEol	$uhuwr	fuEuwl
n@>ahowaY_2@1	>ahowaY	>afoEal	>ahowaY	faEolaY
n@>ajal_1@1	>ajal	faEal	|jAl	|EAl
n@$ajan_1@0	$ajan	faEal	>a$ojAn	>afoEAl
n@$ajan_1@0	$ajan	faEal	$ujuwn	fuEuwl
n@>ajor_2@0	>ajor	faEol	>ujuwr	fuEuwl
n@$ak~_1@0	$ak~	faE~	$ukuwk	fuEuwl
n@$ak~_1@0	$ak~	fal~	$ukuwk	fuEuwl
n@*akar_1@0	*akar	faEal	*ukorAn	fuEolAn
n@*akar_1@0	*akar	faEal	*ukuwr	fuEuwl
n@$Akilap_1@1	$Akilap	fAEilap	$awAkil	fawAEil
n@$akiym_1@1	$akiym	faEiyl	$akA}im	faEA}il
n@$akiym_1@1	$akiym	faEiyl	$ukum	fuEul
n@$akol_1@0	$akol	faEol	>a$okAl	>afoEAl
n@$akowaY_1@1	$akowaY	faEolaY	$akAwaY	faEAlaY
n@$Akuw$_1@1	$Akuw$	fAEuwl	$awAkiy$	fawAEiyl
n@$alotap_1@0	$alotap	faEolap	$ilat	fiEal
n@>alovag_1@1	>alovag	>afoEal	luvog	fuEol
n@>amal_1@1	>amal	faEal	|mAl	|EAl
n@>amor_1@1	>amor	faEol	>umuwr	fuEuwl
n@$amos_1@1	$amos	faEol	$umuws	fuEuwl
n@>anobAr_1@1	>anobAr	faEolAl	>anAbiyr	faEAliyl
n@>anof_1@1	>anof	faEol	>unuwf	fuEuwl
n@$anof_1@1	$anof	faEol	$unuwf	fuEuwl
n@$anokal_2@1	$anokal	faEolal	$anAkil	faEAlil
n@>anokaY_1@1	>anokaY	>afoEal	>anokaY	faEolaY
n@$anoTap_1@1	$anoTap	faEolap	$unaT	fuEal
n@>a*okaY_2@0	>a*okaY	>afoEal	>a*okaY	faEolaY
n@$aq~_2@0	$aq~	faE~	$uquwq	fuEuwl
n@$aq~_2@0	$aq~	fal~	$uquwq	fuEuwl
n@$aq~ap_1@0	$aq~ap	faE~ap	$uqaq	fuEaE
n@$aqiyq_1@0	$aqiyq	faEiyl	>a$iq~A'	>afil~A'
n@$aqiyq_1@0	$aqiyq	faEiyl	>a$iq~ap	>afil~ap
n@*aqon_1@1	*aqon	faEol	>a*oqAn	>afoEAl
n@*aqon_1@1	*aqon	faEol	*uquwn	fuEuwl
n@>aqowaY_2@3	>aqowaY	>afoEal	>aqowaY	faEolaY
n@$araj_1@1	$araj	faEal	>a$orAj	>afoEAl
n@$arak_1@1	$arak	faEal	>a$orAk	>afoEAl
n@$araT_1@1	$araT	faEal	>a$orAT	>afoEAl
n@$Aridap_1@0	$Aridap	fAEilap	$awArid	fawAEil
n@$AriE_1@1	$AriE	fAEil	$awAriE	fawAEil
n@$Ariy_1@2	$Ariy	fAEiy	$urAap	fuEAap
n@$ariyHap_1@0	$ariyHap	faEiylap	$arA}iH	faEA}il
n@$ariyk_1@0	$ariyk	faEiyl	$urakA'	fuEalA'
n@$ariyk_1@2	$ariyk	faEiyl	$arA}ik	faEA}il
n@>ariykap_1@0	>ariykap	faEiylap	>arA}ik	faEA}il
n@$ariyT_1@1	$ariyT	faEiyl	>a$oriTap	>afoEilap
n@$ariyT_1@1	$ariyT	faEiyl	$arA}iT	faEA}il
n@>aro$_1@1	>aro$	faEol	>uruw$	fuEuwl
n@$aro$af_1@0	$aro$af	faEolal	$arA$if	faEAlil
n@>arodab~_1@1	>arodab~	>afoEal~	>arAdib	>afAEil
n@$aroH_1@1	$aroH	faEol	$uruwH	fuEuwl
n@>arojuwHap_1@1	>arojuwHap	faEoluwlap	>arAjiyH	faEAliyl
n@$arom_2@1	$arom	faEol	$uruwm	fuEuwl
n@>aromal_2@1	>aromal	>afoEal	>arAmil	>afAEil
n@>aromal_2@1	>aromal	faEolal	>arAmil	faEAlil
n@>aromalap_1@1	>aromalap	faEolalap	>arAmil	faEAlil
n@>aronab_1@1	>aronab	>afoEal	>arAnib	>afAEil
n@>aronab_1@1	>aronab	faEolal	>arAnib	faEAlil
n@$aroT_1@1	$aroT	faEol	$uruwT	fuEuwl
n@$arox_2@0	$arox	faEol	$uruwx	fuEuwl
n@>asad_1@0	>asad	faEal	|sAd	|EAl
n@>asad_1@0	>asad	faEal	>usuwd	fuEuwl
n@>aSiyS_1@0	>aSiyS	faEiyl	>aSA}iS	faEA}il
n@>aSiyS_1@0	>aSiyS	faEiyl	>uSuS	fuEul
n@>asonaY_1@0	>asonaY	>afoEal	>asonaY	faEolaY
n@>asotik_1@1	>asotik	>afoEil	>asAtik	>afAEil
n@$aT~_1@1	$aT~	faE~	$uTuwT	fuEuwl
n@$aT~_1@1	$aT~	fal~	$uTuwT	fuEuwl
n@$ATi}_1@0	$ATi}	fAEil	$awATi}	fawAEil
n@$atiyl_1@1	$atiyl	faEiyl	$atA}il	faEA}il
n@$atiymap_1@0	$atiymap	faEiylap	$atA}im	faEA}il
n@$aTiyrap_1@1	$aTiyrap	faEiylap	$aTA}ir	faEA}il
n@>aTolas_2@1	>aTolas	>afoEal	>aTAlis	>afAEil
n@>aTolas_2@1	>aTolas	faEolal	>aTAlis	faEAlil
n@$aTon_2@0	$aTon	faEol	>a$oTAn	>afoEAl
n@>at~uwn_1@1	>at~uwn	faE~uwl	>atAtiyn	faEAliyl
n@>awAn_1@0	>awAn	faEAl	|winap	|Eilap
n@$awobak_1@1	$awobak	faEolal	$awAbik	faEAlil
n@$awobak_1@1	$awobak	faEolal	$awAbik	fawAEil
n@$awobak_1@1	$awobak	fawoEal	$awAbik	fawAEil
n@>awodap_1@0	>awodap	faEolap	<iwAd	fiEAl
n@>awofaY_2@0	>awofaY	>afoEal	>awofaY	faEolaY
n@$awok_1@0	$awok	faEol	>a$owAk	>afoEAl
n@$awoq_1@1	$awoq	faEol	>a$owAq	>afoEAl
n@>axiy*_1@0	>axiy*	faEiyl	>axo*aY	faEolaY
n@>axomaS_1@1	>axomaS	>afoEal	>axAmiS	>afAEil
n@>axomaS_1@1	>axomaS	faEolal	>axAmiS	faEAlil
n@$axoS_1@1	$axoS	faEol	>a$oxAS	>afoEAl
n@$axoS_1@1	$axoS	faEol	$uxuwS	fuEuwl
n@$axotuwr_1@1	$axotuwr	faEoluwl	$axAtiyr	faEAliyl
n@$ayoTAn_1@0	$ayoTAn	faEolAl	$ayATiyn	faEAliyl
n@$ayox_1@1	$ayox	faEol	>a$oyAx	>afoEAl
n@$ayox_1@1	$ayox	faEol	$uyuwx	fuEuwl
n@$aZaf_1@1	$aZaf	faEal	$iZAf	fiEAl
n@>azoEar_2@0	>azoEar	>afoEal	zuEorAn	fuEolAn
n@bAb_1@0	bAb	fAl	>abowAb	>afoEAl
n@bAb_1@0	bAb	fAl	biybAn	fiylAn
n@babor_1@1	babor	faEol	bubuwr	fuEuwl
n@bAbuwj_1@1	bAbuwj	fAEuwl	bawAbiyj	fawAEiyl
n@bAbuwr_1@0	bAbuwr	fAEuwl	bawAbiyr	fawAEiyl
n@bAdirap_1@0	bAdirap	fAEilap	bawAdir	fawAEil
n@badiyEap_1@0	badiyEap	faEiylap	badA}iE	faEA}il
n@bAE_1@1	bAE	fAl	>abowAE	>afoEAl
n@baEiyr_1@1	baEiyr	faEiyl	buEorAn	fuEolAn
n@baEol_1@0	baEol	faEol	biEAl	fiEAl
n@baEol_1@0	baEol	faEol	buEuwl	fuEuwl
n@baEov_3@1	baEov	faEol	buEuwv	fuEuwl
n@bagiy~_1@1	bagiy~	faEiy~	bagAyA	faEAlA
n@bagol_1@0	bagol	faEol	>abogAl	>afoEAl
n@bagol_1@0	bagol	faEol	bigAl	fiEAl
n@baHor_1@1	baHor	faEol	>aboHAr	>afoEAl
n@baHor_1@1	baHor	faEol	>aboHur	>afoEul
n@baHor_1@1	baHor	faEol	biHAr	fiEAl
n@baHor_1@1	baHor	faEol	buHuwr	fuEuwl
n@bahow_1@1	bahow	faEol	>abohA'	>afoEAl
n@bahow_1@1	bahow	faEol	>abohA}	>afoEAl
n@bahow_1@1	bahow	faEol	>abohA&	>afoEAl
n@bA}iqap_1@0	bA}iqap	fAEilap	bawA}iq	faEA}il
n@bA}iqap_1@0	bA}iqap	fAEilap	bawA}iq	fawAEil
n@ba$iyr_2@1	ba$iyr	faEiyl	bu$arA'	fuEalA'
n@bAkirap_1@1	bAkirap	fAEilap	bawAkir	fawAEil
n@bAkiy_1@2	bAkiy	fAEiy	bukAap	fuEAap
n@bakor_2@0	bakor	faEol	>abokur	>afoEul
